,Brands,Model,Colors,RAM,ROM,Battery,Screen_Size,Prices
708,SAMSUNG,Galaxy,Black),4,8,2800,17.78,11900
709,iball,Brace,Gold),3,32,2685,25.65,19999
710,Wishtel,IRA,Black),2,16,2685,17.78,7854
711,I,Kall,"Silver, 8 GB)",4,8,2685,12.7,3999
712,SAMSUNG,Galaxy,Cloud Blue),5,128,2685,26.67,44999
713,Lenovo,Tab,2nd Gen) 2 GB RAM 32 GB ROM 10.1 inches with Wi-Fi+4G Tablet ,3,32,2685,25.65,13999
714,Lenovo,Ideapad,Mineral ...,2,128,2685,25.65,22999
715,SAMSUNG,Galaxy,Black),1,32,2685,20.32,11999
716,I,Kall,Black),6,4,2685,17.78,3799
717,I,Kall,White),2,4,2685,17.78,3999
718,Wishtel,Ira,Black),4,8,2685,17.78,4713
719,APPLE,iPad,6th Gen) 512 GB ROM 12.9 inch with Wi-Fi Only ,1,512,2685,32.77,141900
